Productos,Precio Final
JGO LLAVE COMBINACION 6PZ EN MM EXXEL 00-023-006,"19,94"
JGO LLAVE COMBINACION 6PZ STAND EXXEL 03-070,"19,94"
JGO LLAVE COMBINACION 8PZ EN MM EXXEL 00-023-005,"6,28"
JGO LLAVE HEXAGONAL TORX 9PZA SURTEK ALLFT9,"11,64"
JGO LLAVE TORX 7 PZA HR-M5076,"3,26"
JGO LLAVE TUERCAS PLEGABLE 6PZ EXXEL 53-020 / 00-023-170,"13,25"
JGO LLAVE UNIVERSAL 2PZ HR-287,"6,68"
JGO MACHO 3PZA 8MMX1.25 500791,"6,83"
JGO MACHUELOS ACERO AL CARBON 3PZA M6X1 SURTEK 123862,"11,22"
"JGO MECHA (4,5,6,8MM) MULTICONSTR 2607018285BOSCH 872272","37,19"
JGO MECHA 15PZAS 2607017504 BOSCH 870157,"21,79"
JGO MECHA 32PZAS 2607017359BOSCH 870160,"22,62"
JGO MECHA 7PZAS 2607017509 BOSCH 870115,"8,29"
JGO MECHA DADOS Y PUNTAS 34PZAS 2607017405 BOSCH 870775,"26,39"
JGO MECHA DADOS Y PUNTAS 41PZAS 2607017396 BOSCH 870801,"34,23"
JGO MECHA DADOS Y PUNTAS 70PZAS 2607017412 BOSCH 870924,"37,70"
JGO MECHA Y PUNTAS 15PZAS 2607017408 BOSCH 870717,"9,12"
JGO PERNOS SISTEMAS INVERTIDO PAR VENCERAMICA SG0020100001BO,"15,18"
JGO PIEDRA P/TALADRO 10PZAS EXXEL 20-020,"5,03"
JGO PIEDRA P/TALADRO EJE 1/4 5PZAS 11680 TRUPER,"10,60"
JGO PIEDRA P/TALADRO EJE 1/4 5PZAS EXXEL 20-032,"2,70"
JGO PIEDRA P/TALADRO EJE 1/8 5PZAS EXXEL 20-019 / 09-001-002,"2,41"
JGO PINZA MINI 5PZA 4.5 PUL EXXEL 23-017,"18,73"
JGO PUNTA ESTRIA 5PZAS P/TALADRO HR-M3253,"2,42"
JGO PUNTA Y DADOS 26PZAS 2607017322BOSCH 870173,"37,51"
JGO PUNTA Y DADOS 38 PZAS 2607017511 BOSCH 870186,"27,85"
JGO PUNTA Y DADOS 46PZAS 2607017399 BOSCH 870364,"31,80"
JGO RATCHET Y DADOS 40 PZA 19-001,"13,76"
JGO REBORDEADOR P/TUBO DE COBRE BRUFER 201521-1,"20,53"
JGO RECIBO COUNTRY 4PZAS NATURAL,"170,48"
JGO SAB MF KING STD NIEVE 1SM1KS100,"58,01"
JGO SAB MF MAT STD NIEVE 1SM1MS100,"46,63"
JGO SAB MF MAT STD.QUERENCIA MAREA AZUL 1SM1MS513,"46,63"
JGO TARRAJA Y DADO METAL 10 PZAS EXXEL 43-095 / 00-004-059,"14,82"
JUEGO TORNILLO PLASTICO P/TANQUE WC,"1,26"
JUGO LIPTON LIMON 500 ML,"2,16"
JUGO LIPTON TE VERDE 500 ML,"2,16"
JUGO YUKERY DURAZNO 250 ML,"1,28"
JUGO YUKERY NARANJA 250 ML,"1,28"
JUGO YUKERY PERA 250 ML,"1,28"
"JUNTA DRESSER BRONCE 1/2"" F.P","34,79"
"JUNTA DRESSER GALVANIZADA 1 1/4""","26,14"
"JUNTA DRESSER GALVANIZADA 1""","14,69"
"JUNTA DRESSER GALVANIZADA 1.1/2""","25,62"
"JUNTA DRESSER GALVANIZADA 1/2"" LARGA","13,43"
"JUNTA DRESSER GALVANIZADA 3/4"" CORTA","14,63"
"JUNTA DRESSER PLASTICA 1""","3,35"
"JUNTA DRESSER PLASTICA 1/2""","2,19"
"JUNTA DRESSER PLASTICA 3/4""","2,41"
KEROSENE 1 LITRO,"7,28"
KEROSENE 1/2 LITRO,"3,54"
KG CEMENTO BLANCO 1 KG,"3,34"
KG CEMENTO GRIS 1 KG,"0,70"
KG LAMINA 2DA RECORTES GRANDES,"1,83"
KG LAMINAS HN RECORTES 2DA FLANCHES REDONDOS Y CUADRADOS,"2,25"
KG PEGO GOLD BLANCO P/PORCELANATO,"0,77"
KG TUBERIA 2DA,"2,61"
KG TUBERIA CUADRADA 1 X 1 X 0.90MM 2DA GALVANIZADO,"1,32"
KG TUBERIA CUADRADA 3/4 X 3/4 X 0.90MM 2DA GALVANIZADO,"1,32"
KG TUBO DE COBRE,"45,57"
KG VIGAS 2DA,"2,18"
KG YESO BLANCO 1 KG,"3,34"
KIT CEBRA P/PINTAR SENCILLO C/RODILLO,"11,56"
KIT D/ACCESORIOS GENERAL 52 PZAS DREMEL 26150730AA 864668,"33,34"
KIT D/BIELA D/CIGUENAL P/DESMAL CG430/520-10,"11,09"
KIT D/BRIDA P/DESMAL 43/52CC CG430/520-76,"3,92"
KIT D/CILINDRO PISTON Y ANILLOS 40MM CG430-02,"19,71"
KIT D/CILINDRO PISTON Y ANILLOS 44MM CG520-03,"21,53"
KIT D/CILINDRO PISTON Y ANILLOS 52MM MS381-03,"70,63"
KIT D/EMPACADURA P/MOTOR 11HP/13HP GX340/GX390-87,"5,87"
KIT D/ESTOPERA 15X30X70 / 12X22X7 CG430/520-12-13,"2,35"
KIT D/ESTOPERA P/DESMALEZADORA 15X30X70 CG430/520/12/13,"2,19"
KIT D/FILTRO Y MANGUERA D/GASOLINA CG430/520-37,"2,16"
KIT D/HERRAMIENT P/DESMAL CG430/520-83,"2,94"
KIT D/LIJADO ALISADO ESMERILADO 31 PZAS DREMEL 26150727AA 864642,"25,17"
KIT D/PARCHES P/BICICLETAS (48UND) HR-201,"2,03"
KIT D/PINON Y CORONA CABEZAL P/DESMAL 43/52CC SHIMAHA CG430/520-74,"4,90"
KIT D/PINON Y EJE D/ENGRANAJE CG430/520-75,"7,83"
KIT D/PISTON Y ANILLOS 40MM CG430-04,"10,57"
KIT D/PISTON Y ANILLOS 44MM CG520-05,"10,57"
KIT D/RESPIRADOR DESACHABLE 1/2CARA 3M MOD.07192VAPORES ORGANICOS,"117,45"
KIT DE GROMMETS Y RESORTES VENCERAMICA SG0051180001BO,"4,15"
KIT DE PERNO + RETEN Y TUERCA PLASTICA VENCERAMICA SG0051030001BO,"6,13"
KIT DE PISTON Y ANILLOS 88MM P/MOTOR GX390-11,"26,35"
KIT DE REPARACION VALVULA LLENADO FM242135,"0,01"
KIT FIBRA DE VIDRIO POLIESTER 1/16 GALON,"20,74"
KIT FIBRA DE VIDRIO POLIESTER 1/32 GALON,"13,20"
KIT FIBRA DE VIDRIO POLIESTER 1/4 GALON,"47,13"
KIT FIBRA DE VIDRIO POLIESTER 1/8 GALON,"32,05"
KIT INSTALACION P/CALENTADOR STARJET KS001,"63,08"
KIT P/AFILAR Y CORTAR METAL 26150734AB DREMEL 864746,"36,92"
KIT P/LIJAR Y TALLAR MADERA 26150733AB DREMEL 864734,"30,20"
KIT P/TALLAR Y GRABAR 26150729AB DREMEL 864722,"36,92"
KIT RESINA EPOXICA 1/16 GALON,"21,75"
KIT/EMPAQUE D/MOTOR P/DESMAL CG430/520-53,"2,55"
LACA NITRO REINCO BRILLANTE GALON TRANSPARENTE 1700-101,"113,16"
LACA NITRO REINCO MATE 1/4 GALON TRANSPARENTE,"27,16"
LACA NITRO REINCO MATE GALON TRANSPARENTE,"113,16"
LACA NITRO REINCO SATINADO 1/4 GALON TRANSPARENTE,"27,16"
LACA NITRO REINCO SATINADO GALON TRANSPARENTE,"113,16"
LADRILLO CASITA UND,"0,93"
LADRILLO CURVO UND,"0,93"
LADRILLO MACIZO 5X12X24CM UND,"1,89"
LADRILLO REFRACTARIO UND,"2,28"
LADRON DE AGUA 3/4 PUL,"5,19"
LAMINA ACEROLIT CANAL ANCHO 1ERA VERDE PLATEADO 3.00MTS,"63,95"
LAMINA ACEROLIT CANAL ANCHO 1ERA VERDE PLATEADO 3.50MTS,"74,60"
LAMINA ACEROLIT CANAL ANCHO 1ERA VERDE PLATEADO 4.00MTS,"85,26"
LAMINA ACEROLIT CANAL ANCHO 1ERA VERDE PLATEADO 4.50MTS,"95,92"
LAMINA ACEROLIT CANAL ANCHO 1ERA VERDE PLATEADO 5.00MTS,"106,58"
LAMINA ACEROLIT CANAL ANCHO 1ERA VERDE PLATEADO 6.00MTS,"127,89"
LAMINA ACEROLIT CANAL ANCHO 2DA VERDE PLATEADO 4.00MTS,"56,55"
LAMINA ACEROLIT CANAL ANCHO 3ERA BLANCO 3.00 MTS (USADO),"35,89"
LAMINA ACEROLIT CANAL ANCHO 3ERA BLANCO 4.00 MTS (USADO),"47,85"
LAMINA ACEROLIT CANAL ANCHO 3ERA BLANCO 6.00 MTS (USADO),"71,78"
LAMINA ACEROLIT CANAL ONDULADO 1ERA VERDE PLATEADO 3.00 MTS,"63,95"
LAMINA ACEROLIT CANAL ONDULADO 1ERA VERDE PLATEADO 3.50 MTS,"74,60"
LAMINA ACEROLIT CANAL ONDULADO 1ERA VERDE PLATEADO 4.00 MTS,"85,26"
LAMINA ACEROLIT CANAL ONDULADO 1ERA VERDE PLATEADO 4.50 MTS,"95,92"
LAMINA ACEROLIT CANAL ONDULADO 1ERA VERDE PLATEADO 5.00 MTS,"106,58"
LAMINA ACEROLIT CANAL ONDULADO 1ERA VERDE PLATEADO 6.00 MTS,"127,89"
LAMINA ACEROLIT CANAL ONDULADO 2DA VERDE PLATEADO 4.00 MTS,"56,55"
LAMINA ALUMINIO FRESCOR 0.30MMX3.00M.P/TECHO UTIL 0.89MT.,"40,32"
LAMINA ALUMINIO FRESCOR 0.30MMX3.50M.P/TECHO UTIL 0.89MT.,"47,04"
LAMINA ALUMINIO FRESCOR 0.30MMX4.00M.P/TECHO UTIL 0.89MT.,"53,77"
LAMINA ALUMINIO FRESCOR 0.30mmX6.00M.P/TECHO UTIL 0.89mt.,"80,63"
LAMINA ALUMINIO LISA 0.30MM 1.22 X 2.40MTS,"35,83"
LAMINA ALUMINIO LISA 0.50MM 1.22 X 1.22MTS,"29,22"
LAMINA ALUMINIO LISA 0.50MM 1.22 X 2.40MTS,"59,65"
LAMINA ALUMINIO LISA 0.70MM 1.22 X 2.40MTS,"83,49"
LAMINA ARQUITECTONICA AZUL 1.00 X 0.27MM X 4.00 MTS CANAL TRAPEZOIDAL,"33,06"
LAMINA ARQUITECTONICA AZUL 1.00 X 0.27MM X 6.00 MTS CANAL TRAPEZOIDAL,"49,59"
LAMINA ARQUITECTONICA ROJA 1.00 X 0.27MM X 4.00 MTS CANAL TRAPEZOIDAL,"33,06"
LAMINA ARQUITECTONICA ROJA 1.00 X 0.27MM X 6.00 MTS CANAL TRAPEZOIDAL,"49,59"
LAMINA CABALLETE ALUMINIO 0.30MTS.X0.30MTX2.30M. 0.50MM,"28,43"
LAMINA CABALLETE CUMBRERA C/FALDON 2MTRS ROJO/ROJO,"40,17"
LAMINA CABALLETE LISO 22.5X22.5 NATURAL/VERDE X 2MTS,"29,78"
LAMINA DECO ROOF OND AZUL/BCO 3MX1.25MX1.8MM. 1ERA CTV-L-01-3-04,"97,88"
LAMINA DECO ROOF OND AZUL/BCO 5MX1.25MX1.8MM 1ERA CTV-L-01-5-04-E,"163,13"
LAMINA DECO ROOF OND AZUL/BCO 6MX1.25MX1.8MM 1ERA CTV-L-01-6-04-E,"195,75"
LAMINA DECO ROOF OND AZUL/BCO 6MX1.25MX1.8MM 2DA CTV-L-01-6-04,"156,60"
LAMINA ESTRIADA 2.40 X 1.00MTS X 3.00MM,"172,41"
LAMINA ESTRIADA 2.40 X 1.20MTS X 2.50MM,"174,16"
LAMINA ESTRIADA 2.40 X 1.20MTS X 3.00MM,"192,27"
LAMINA ESTRIADA 2.40 X 1.20MTS X 6.00MM,"407,02"
"LAMINA EXPANDIDA 1.00 X 2.40 X 1 1/2"" C-14","71,43"
"LAMINA EXPANDIDA 1.20 X 2.40 X 1"" C-16 (H-14)","63,99"
"LAMINA EXPANDIDA 1.20 X 2.40 X 1/2"" C-18 (H-6A)","69,53"
"LAMINA EXPANDIDA 1.20 X 2.40 X 1/2"" C-20 (H-6A)","48,94"
"LAMINA EXPANDIDA 1.20 X 2.40 X 1/4"" C-20 (H-1)","79,04"
"LAMINA EXPANDIDA 1.20 X 2.40 X 3/4"" C-18 (H-9)","56,48"
"LAMINA EXPANDIDA 1.20 X 2.40 X 3/8"" C-20 (H-3)","59,46"
LAMINA EXPANDIDA 1.20 X 2.40 X2 PUL C-14,"64,16"
LAMINA FOAMI DECOR TEXTURI DORADO AUTOAD 70CM X 70CM WSDF-011,"5,42"
LAMINA FOAMI DECOR TEXTURI MADERA AUTOAD 70CM X 70CM WSDF-036,"8,82"
LAMINA FOAMI DECOR TEXTURIZA BLANCA AUTOAD 70CM X 77CM WSF-031,"8,48"
LAMINA FOAMI DECOR TEXTURIZADA AUTOADHES 70CM X 70CM WSDF-048,"8,48"
LAMINA FOAMI DECOR TEXTURIZADA BLANCO 2MTS X 8CM WS-065,"5,09"
LAMINA FOAMI DECORATIVA MODEL 3D 50CM X 60CM OSO83,"7,64"
LAMINA GALV 2.40X1 X 0.90MM (20),"52,85"
LAMINA GALV 2X1 X 0.70MM (22),"35,03"
LAMINA GALV 2x1 x 0.90mm (20),"45,01"
LAMINA GALV 2x1 x 1.10mm (18),"54,98"
LAMINA GALV 4X8 X 0.40MM (26),"30,70"
LAMINA GALV 4X8 X 0.60MM (24),"44,43"
LAMINA GALV 4X8 X 0.70MM (22),"50,39"
LAMINA GALV 4X8 X 0.90MM (20),"65,05"
LAMINA GALV 4X8 X 1.50MM (16),"108,43"
LAMINA GALV 4X8 X 1.90MM (14),"130,78"
LAMINA HN 2X1X 12MM (1/2),"476,37"
LAMINA HN 2X1X 2.00MM (5/64),"79,08"
LAMINA HN 2X1X 2.50MM (3/32),"96,85"
LAMINA HN 2X1X 3.00MM (1/8),"115,04"
LAMINA HN 2X1X 4.00MM (5/32),"155,35"
LAMINA HN 2X1X 5.00MM (3/16),"198,59"
LAMINA HN 2X1X 6.00MM (1/4),"239,38"
LAMINA HN 2X1X 8.00MM (5/16),"317,75"
LAMINA HN 2X1X 9.00MM (3/8),"357,47"
LAMINA HN 4X8X 12MM (1/2),"688,85"
LAMINA HN 4X8X 16MM (5/8),"1105,05"
LAMINA HN 4X8X 19MM (3/4),"1312,22"
LAMINA HN 4X8X 2.50MM (3/32),"139,07"
"LAMINA HN 4X8X 25MM (1"")","1874,18"
LAMINA HN 4X8X 3.00MM (1/8),"166,23"
LAMINA HN 4X8X 4.00MM (3/16),"206,70"
LAMINA HN 4X8X 5.00MM (3/16),"288,22"
LAMINA HN 4X8X 6.00MM (1/4),"344,45"
LAMINA HN 4X8X 8.00MM (5/16),"457,55"
LAMINA HN 4X8X 9.00MM (3/8),"518,80"
LAMINA LOSACERO DENT. 0.70 X 780MM X 6.10MTS C-22 UTIL 0.72,"117,45"
LAMINA MILTEJA 6.00MTS 0.27MM ROJO-BLANCO,"215,33"
LAMINA MILTEJA 6.00MTS 0.27MM ROJO-BLANCO 2DA,"172,26"
LAMINA P/CIELORASO FIBRA MINERAL 60CM X 60CM AMSTONG,"6,03"
LAMINA P/CIELORASO LISO ISOCOR 1.20MTSX0.60MTSX1.5CM,"2,64"
LAMINA P/CIELORASO LISO ISOCOR 1.20MTSX0.60MTSX1.8CM,"3,02"
LAMINA P/CIELORASO LISO ISOCOR 1.20MTSX0.60MTSX2CM,"3,39"
LAMINA PULIDA 2X1 0.60MM (24),"24,55"
LAMINA PULIDA 2X1 0.70MM (22),"27,74"
LAMINA PULIDA 2X1 0.90MM (20),"35,63"
LAMINA PULIDA 2X1 1.10MM (19),"43,56"
LAMINA PULIDA 2X1 1.40MM (16),"57,22"
LAMINA PULIDA 2X1 1.90MM (14),"71,08"
LAMINA PULIDA 4X8 0.60MM (24),"38,47"
LAMINA PULIDA 4X8 0.70MM (22),"39,92"
LAMINA PULIDA 4X8 0.90MM (20),"51,29"
LAMINA PULIDA 4X8 1.10MM (19),"62,68"
LAMINA PULIDA 4X8 1.50MM (16),"88,19"
LAMINA PULIDA 4X8 1.90MM (14),"111,68"
LAMINA SANTA MARIA HIERRO GALV.LISA 0.90MM X 6.00MTS 1ERA,"46,50"
LAMINA SANTA MARIA HIERRO GALV.PERFORADO 0.90MM X 6.00MTS 1ERA,"71,09"
LAMINA SANTA MARIA HIERRO PULIDO 0.70MM X 6.10MTS 1ERA,"15,69"
LAMINA TRANSP.DECOGLASS C/CUADR.3.50 MTS,"108,47"
LAMINA TRANSP.DECOGLASS C/NORMAL/ACEROLIT 2.00 MTS,"69,28"
LAMINA TRANSP.DECOGLASS C/NORMAL/ACEROLIT 2.50 MTS,"87,49"
LAMINA TRANSP.DECOGLASS C/NORMAL/ACEROLIT 3.00 MTS,"103,91"
LAMINA TRANSP.DECOGLASS C/NORMAL/ACEROLIT 3.50 MTS,"122,13"
LAMINA TRANSP.DECOGLASS C/NORMAL/ACEROLIT 4.00 MTS,"145,84"
LAMINA TRANSP.DECOGLASS C/ZINC NORMAL 2.44 MTS.,"83,85"
LAMINA TRANSP.DECOGLASS C/ZINC NORMAL 3.05 MTS.,"105,71"
LAMINA TRANSP.DECOGLASS C/ZINC NORMAL 3.66 MTS.,"127,60"
LAMINA ZINC NORMAL X 2.40MTS ( 8 PIES) CAL-0.17MM,"10,92"
LAMINA ZINC NORMAL X 3.00MTS ( 10 PIES) CAL-0.17MM,"13,64"
LAMINA ZINC NORMAL X 3.60MTS ( 12 PIES) CAL-0.17MM,"16,36"
LAMPARA AUXILIAR PARA MECANICO METAL 3.0 MTS.,"12,80"
LAMPARA COLGANTE BILBAO LD03 LUMISTAR,"30,35"
LAMPARA COLGANTE BRONCE LD14 LUMISTAR,"11,27"
LAMPARA COLGANTE NEGRA LD13 LUMISTAR,"5,74"
LAMPARA COLGANTE OPORTO LD06 LUMISTAR,"64,38"
LAMPARA COLGANTE PLATA LD14-P LUMISTAR,"12,18"
LAMPARA COLGANTE PRAGA LD07 LUMISTAR,"37,37"
LAMPARA COLGANTE PRAGA LD08 LUMISTAR,"73,24"
LAMPARA COLGANTE PRAGA LD09 LUMISTAR,"77,26"
LAMPARA COLGANTE TOLEDO LD04 LUMISTAR,"36,79"
LAMPARA D/ALUMBRADO PUBLICO 100W TIPO SPLAH BLANCO LA-NLD077W100,"66,18"
LAMPARA D/ALUMBRADO PUBLICO 200W TIPO SPLAH BLANCO FHAP-200277,"137,03"
LAMPARA D/ALUMBRADO PUBLICO 250W LA-NLD077W200,"116,54"
LAMPARA D/ALUMBRADO PUBLICO 250W TIPO SPLAH BLANCO LA-NLD077W250,"173,04"
LAMPARA DE EMERGENCIA DOBLE LED RECARG 4W 6500K 110/220V ILUM-VEN LD-1291,"31,57"
LAMPARA DE EMERGENCIA RECARGABLE 40W LD-656,"8,40"
LAMPARA DE SENALIZACION TIPO LED ROJO 22MM 220VAC,"3,31"
LAMPARA DECORATIVA PARED BLANCO L/C LED207 LUMISTAR,"26,43"
LAMPARA DECORATIVA PARED NEGRO L/C LED210 LUMISTAR,"31,93"
LAMPARA DECORATIVA PARED NEGRO L/C LED210-N LUMISTAR,"18,97"
LAMPARA LED # 1 25W EXXEL 03-004-204,"12,02"
LAMPARA LED # 2 25W EXXEL 03-004-205,"12,63"
LAMPARA LED # 3 25W EXXEL 03-004-206,"5,55"
LAMPARA LED # 4 25W EXXEL 03-004-207,"10,31"
LAMPARA LED 3W SUP. L/BLANCA LED99 LUMISTAR,"3,20"
LAMPARA LED C/PANEL SOLAR Y SENSOR MOVIMIENTO LD-698(20W),"6,90"
LAMPARA LED C/PANEL SOLAR Y SENSOR MOVIMIENTO LD-699(36W),"8,64"
LAMPARA LED C/SENSOR INFRARROJO L/BLANCA LED3000 LUMISTAR,"26,01"
LAMPARA LED CUADRADA DE PARED 15W LD-1259,"9,86"
LAMPARA LED CUADRADA EMPOTRAR 12W EXXEL 03-015-117,"7,71"
LAMPARA LED CUADRADA EMPOTRAR 18W EXXEL 03-015-118,"9,48"
LAMPARA LED CUADRADA EMPOTRAR 24W EXXEL 03-015-119,"15,33"
LAMPARA LED CUADRADA SOBREPONER 12W EXXEL 03-015-125,"7,66"
LAMPARA LED CUADRADA SOBREPONER 24W EXXEL 03-015-127,"14,63"
LAMPARA LED CUADRADA SOBREPONER 6W EXXEL 03-015-124,"6,86"
LAMPARA LED CUADRADA SUPER 13W LD-1319,"5,38"
LAMPARA LED CUADRADA SUPER 25W LD-1320,"11,75"
LAMPARA LED CUADRADA SUPER 45W LD-1322,"28,88"
LAMPARA LED DE CAMPING C/PANEL SOLAR LD-1286,"15,14"
LAMPARA LED DE MESA RECARGABLE MUSICAL LD-1284,"21,52"
LAMPARA LED DIAMANTE TIPO T 20W LD-1671,"6,38"
LAMPARA LED EMPOTAR-SUPER CUADRADA 48W LD-1328,"28,13"
LAMPARA LED EMPOTAR-SUPER REDONDA 48W LD-1326,"17,60"
LAMPARA LED EMPOTRAR SENAL P/ESCALER 15W LD-1473,"11,14"
LAMPARA LED LD-808,"9,47"
LAMPARA LED P/EXTERIOR CUADRADA 45W LD-1441,"10,01"
LAMPARA LED P/EXTERIOR OVALADA NEGRA LD-1443,"10,57"
LAMPARA LED P/EXTERIOR REDONDA 45W LD-1440,"13,38"
LAMPARA LED P/PARED LD-804,"11,96"
LAMPARA LED PANEL PLAFON 100W LD-1490,"15,69"
LAMPARA LED PANEL PLAFON 50W LD-1488,"13,70"
LAMPARA LED RECARGABLE 60W LD-657,"12,62"
LAMPARA LED REDONDA EMPOTRAR 12W EXXEL 03-015-113,"6,70"
LAMPARA LED REDONDA EMPOTRAR 24W EXXEL 03-015-115,"13,72"
LAMPARA LED REDONDA EMPOTRAR 6W EXXEL 03-015-112,"5,02"
LAMPARA LED REDONDA SOBREPONER 6W EXXEL 03-015-120,"6,10"
LAMPARA LED REDONDA UFO 24W EXXEL 03-004-130,"7,50"
LAMPARA LED REDONDA-PARED 35W LD-1323,"9,44"
LAMPARA LED REDONDA-SUPERF 13W LD-1315,"6,18"
LAMPARA LED REDONDA-SUPERF 25W LD-1316,"12,18"
LAMPARA LED REDONDA-SUPERF 45W LD-1318,"29,23"
LAMPARA LED RGB C/CONTROL 12W MAS 4W LD-1338,"11,88"
LAMPARA LED RGB C/CONTROL 24W MAS 8W LD-1339,"16,23"
LAMPARA LED RGB C/CONTROL 36W MAS 12W LD-1340,"20,91"
LAMPARA LED UFO ALUM 20.6CM/19.6CM CONEX 120V E27 LD-1106,"39,63"
LAMPARA LINTERNA RECARGABLE SOLAR,"21,88"
LAMPARA PARED NEGRO P/EXTERIOR LED216 LUMISTAR,"16,49"
LAMPARA RECARGABLE USB 30W EXXEL PN202319,"10,41"
LAMPARA SOCATE EXTENSIBLE LD-588,"2,86"
LAMPARA SOCATE P/BOMBILLO E-27 LD-584,"6,38"
LAMPARA SOCATE P/BOMBILLO E-27 LD-587,"2,22"
LAMPARA SOLAR DE PARED LD-998,"10,22"
LAMPARA SOLAR RGB P/EXTERIOR LD-1468,"6,90"
LAMPARA SPOT 1 BOMBILLO PARA EMPOTRAR 4 PUL VENCOLUX LAMSP001,"14,14"
LAMPARA SPOT 1 BOMBILLO PARA EMPOTRAR 5 PUL VENCOLUX LAMSP002,"14,14"
LAMPARA SPOT 1 BOMBILLO PARA EMPOTRAR 6 PUL VENCOLUX LAMSP004,"18,84"
LAMPARA SPOT 2 BOMBILLOS P/EMPOTRAR 5 PUL VENCOLUX LAMSP003,"17,66"
LAMPARA SPOT 2 BOMBILLOS P/EMPOTRAR 6 PUL VENCOLUX LAMSP005,"20,62"
LAMPARA SPOT LED P/EMP. 12W CUD.BLANCA LED139 LUMISTAR,"5,79"
LAMPARA SPOT LED P/EMP. 12W RED.BLANCA LED130 LUMISTAR,"9,48"
LAMPARA SPOT LED P/EMP. 3W RED.BLANCA LED135 LUMISTAR,"4,87"
LAMPARA SPOT LED P/EMP. 9W RED.BLANCA LED129 LUMISTAR,"6,92"
LAMPARA TIPO T LED 12W LED156 LUMISTAR,"4,22"
LANA DE ACERO N.3 160GRS.,"2,26"
LANA DE ACERO N.3 160GRS. EXXEL,"2,32"
LANA DE ACERO N.3 400GRS.,"5,09"
LANA DE ACERO N.5 160GRS.,"3,44"
LANA DE ACERO N.5 160GRS. EXXEL 52-001,"2,51"
LANA DE ACERO N.5 400GRS.,"5,47"
LAPIZ CARPINTERO BI COLOR 0135-184990,"0,32"
LAVAFACIL RESINCA (BATEA Y GABINETE) 89X66X59 GDE.,"167,03"
LAVAMANOS ARRECIFE BLANCO ROMA VITROCERAMICA PS13030102,"43,50"
LAVAMANOS ASPIO PREP 4 PUL BLANCO GLACIAR VENCERAMICA,"95,53"
LAVAMANOS FIONA VENCERAMICA REMATE SS005678000000,"38,06"
LAVAMANOS FIONIA BLANCO GLACIAR VENCERAMICA,"54,38"
LAVAMANOS NERTHUS BLANCO GLACIAR VENCERAMICA,"54,38"
LAVAMANOS NORIEGA BLANCO CON PEDESTAL,"117,20"
LAVAMANOS OAKBROOK PREP 4 PUL Y 8 PUL B GCI VENCERAMICA,"63,44"
LAVAMANOS POMPANO REP 4 PUL Y 8 PUL BLANCO GLACIAR VENCERAMICA,"83,46"
LAVAMANOS SHELBY PREP 4 BLANCO VENCERAMICA,"62,05"
LAVAMANOS SPA BLANCO VENCERAMICA SS0056851321CA,"72,50"
LAVAMANOS STYLO CUADRATO BLANCO VENCERAMICA,"87,00"
LAVAMANOS STYLO PIAMONTE BLANCO VENCERAMICA,"126,88"
LAVAMANOS STYLO REGGIO BLANCO VENCERAMICA,"108,75"
LAVAMANOS STYLO ROTONDO BLANCO VENCERAMICA,"90,63"
LENTE P/SOLDAR AUTOMATICO EXXEL PN202406,"16,54"
LENTE P/SOLDAR OSCURO HR-110,"1,12"
LENTE P/SOLDAR PROLIFE REF.401-P,"1,12"
LENTE SEGURIDAD OSCURO EXXEL 07-018-068/53-145,"6,60"
LENTE SEGURIDAD TRANSPARENTE EXXEL 07-018-067/53-144,"3,57"
LENTE SEGURIDAD TRANSPARENTE EXXEL 40-205,"2,22"
LENTE SEGURIDAD TRANSPARENTE HR-M3357,"2,22"
LENTE VIRTUA TRANSPARENTE MOD. 11326 3M,"5,57"
LEVANTA VALVULA AMPRO T70032,"74,82"
LIGA AMARILLO CON GANCHOS (3PZAS) AAL1783,"4,92"
LIGA AZUL CON GANCHOS (3PZAS) AAL2051,"4,92"
LIGA DE FRENOS H&H DOT3 290ML,"4,39"
LIGA DE FRENOS H&H DOT3 946ML,"12,92"
LIGA ROJO CON GANCHOS (3PZAS) AAL1784,"4,92"
"LIJA BANDA 4"" X 24M GRANO 100 RTBK5-1025 ABRACOL","2,12"
"LIJA BANDA 4"" X 24M GRANO 40 332","4,29"
"LIJA BANDA 4"" X 24M GRANO 60 RTBK5-6025 ABRACOL","2,25"
"LIJA BANDA 4"" X 24M GRANO 80 RTBK5-8025 ABRACOL","2,25"
"LIJA BANDA 6"" X 1M GRANO 120 (ROLLO 25M) RTRK1-1206 ABRACOL","4,54"
"LIJA BANDA 6"" X 1M GRANO 40 (ROLLO 25M) ABRACOL","4,48"
"LIJA BANDA 6"" X 1M GRANO 40 (ROLLO 25M) RTRK1-4006 ABRACOL","4,84"
"LIJA BANDA 6"" X 1M GRANO 60 (ROLLO 25M) RTRK7-6006 ABRACOL","4,60"
"LIJA BANDA 6"" X 1M GRANO 80 (ROLLO 45M) RTRK1-8006 ABRACOL","3,49"
LIJA N. 100 3M,"1,42"
LIJA N. 100 ABRACOL RLAX7-0100,"0,77"
LIJA N. 120 3M,"1,42"
LIJA N. 120 ABRACOL RLAX7-0120,"0,77"
LIJA N. 1200 RLAX7-1200,"0,90"
LIJA N. 150 3M,"1,42"
LIJA N. 150 ABRACOL RLAX7X-0150,"0,62"
LIJA N. 180 3M,"1,42"
LIJA N. 180 ABRACOL RLAX7-0180,"0,61"
